company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Raffles Udaipur,"Udaipur, Rajasthan, India",,,10,low,low,LinkedIn
Raksha Elite Solutions (Raksha Prime),"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Rapyder,Bengaluru,,Team Lead - DG (Demand Generation),10,low,low,Naukri
RateGain,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Rearc,"Vadodara, Gujarat, India",us market,,10,medium,medium,LinkedIn
Recro,India,"Markets list includes US, US market(s)",Head of Demand Generation,10,medium,medium,LinkedIn
Reliance Games,Pune,,,10,low,low,Naukri
Reputed Real - Estate Company,Ahmedabad,pipeline,,10,low,low,Naukri
Ridhira Group - Building World's largest Wellness Communities,"Hyderabad, Telangana, India",,Head of Marketing,10,medium,medium,LinkedIn
Ronil,Goa,,,10,low,low,Indeed
SAP,"Bengaluru, Karnataka, India",pipeline,Digital Demand Generation Campaign Manager (Digital Hub),20,low,low,LinkedIn + Naukri
SBT Research,Pune,,Lead Generation/ Demand Generation Executive,10,low,low,Naukri
SMARTe,Mumbai,,Demand Generation Manager,10,low,low,Naukri
"SRINIVASA SALES & SERVICE PVT LTD.,","Hyderabad, Telangana, India",go to market,Head of Growth,10,low,low,LinkedIn
SS Consulting Kochi,"Kerala, India",,,10,low,low,LinkedIn
SUN PHARMA,Mumbai Metropolitan Region,,,20,low,low,LinkedIn + Naukri
SaaS Labs,"Bengaluru, Karnataka, India",pipeline,Head of Demand Generation,10,low,low,LinkedIn
Saj Hotels,Mumbai(Vile Parle),,,10,low,low,Naukri
Sajjana Gandla Ganesh,Bengaluru(Koramangala),,,10,low,low,Naukri
Salesforce,Bengaluru,,,10,low,low,Naukri
Sankara Eye Hospital,Shimoga,,,10,low,low,Naukri
Sciative Solutions,Navi Mumbai,us market,,10,medium,medium,Naukri
Scopely,"IN - Bangalore, India",,,10,low,low,Greenhouse
Seven Islands Shipping Limited,Remote,,,10,low,low,Indeed
Shalina Healthcare,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Shell Pvt Ltd,Gurugram,,,10,low,low,Naukri
Shivani Scientific Industries,Mumbai(Mira Road),,,10,low,low,Naukri
Siddhivinayak Buildpro,Pune(Ambegaon Bk +1),,,10,low,low,Naukri
Signeasy,"Bengaluru, Karnataka, India",pipeline,Growth and Demand Generation lead,10,low,low,LinkedIn
Silverstrom Amusement Parks Pvt. Ltd,"Vettilappara, Thrissur, Kerala",,Head of Marketing and Sales,10,medium,medium,Indeed
Sitaram Spinners,Hyderabad,pipeline,,10,low,low,Naukri
Skillsoft,India - Remote,pipeline,,10,low,low,Greenhouse
Skysun,"Mohali, Punjab",,,10,low,low,Indeed
Softlab Solutions,Remote,,,10,low,low,Indeed
Soprema Group,Gurugram,,,10,low,low,Naukri
SourcingXPress,"Mumbai, Maharashtra, India","US market focus, US market(s)",Chief Marketing Officer,10,high,high,LinkedIn
Spiceblue Online,Chennai,,Head of Growth,10,low,low,Naukri
Sportz Interactive,Goregaon,,,20,low,low,Naukri
Square Solutions,Noida,,,10,low,low,Naukri
StackGen,"Bengaluru, Karnataka, India",pipeline,Demand Generation Manager,10,low,low,LinkedIn
SteepGraph,"Pune City, Maharashtra, India",pipeline,Demand Generation Manager (ABM Focus),20,low,low,LinkedIn + Naukri
