id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-290426502322,naukri,Demand Generation Manager,iBase-t,Ahmedabad,https://www.naukri.com/job-listings-demand-generation-manager-ibase-t-ahmedabad-5-to-10-years-290426502322,2026-05-04,5-10 Yrs,false,,,,,"Experience working in a fast-paced environment, prioritizing multiple tasks and meeting..."
nk-120526016060,naukri,Senior Marketing Manager- Demand generation,Synoptek,"Hybrid - Pune, Ahmedabad",https://www.naukri.com/job-listings-senior-marketing-manager-demand-generation-synoptek-pune-ahmedabad-10-to-15-years-120526016060,2026-05-18,10-15 Yrs,false,,,,,"Certifications related to digital marketing, account-based marketing, marketing automat..."
nk-150526502914,naukri,Senior Digital Marketing Manager Demand Generation,Habilelabs,Jaipur,https://www.naukri.com/job-listings-senior-digital-marketing-manager-demand-generation-habilelabs-private-limited-jaipur-7-to-10-years-150526502914,2026-05-18,7-10 Yrs,false,,,,,Develop and implement comprehensive digital marketing strategies to drive business gro...
nk-230326006649,naukri,"Global Director, Demand Generation.",Prolim,Bengaluru,https://www.naukri.com/job-listings-global-director-demand-generation-prolim-bengaluru-10-to-18-years-230326006649,2026-05-21,10-18 Yrs,false,,,,,"Location: Bangalore, India (US Shift) + Evening OverlapThe ideal candidate is a data-dr..."
nk-080526030842,naukri,Digital Marketing Manager - Demand Generation,Uplers,Remote,https://www.naukri.com/job-listings-digital-marketing-manager-demand-generation-uplers-ahmedabad-5-to-8-years-080526030842,2026-05-11,5-8 Yrs,false,,,,,Shift - General shift . We need someone with only B2B experience and someone who has ge...
nk-250526014052,naukri,Lead Demand Generation &amp; Marketing Operations,Grazitti Interactive,Panchkula,https://www.naukri.com/job-listings-lead-demand-generation-marketing-operations-grazitti-interactive-panchkula-7-to-10-years-250526014052,2026-05-25,7-10 Yrs,false,,,,,Modern Search & Analytics: Deep understanding of the shift from traditional SEO to Answ...
nk-010526502499,naukri,Assistant Manager u2013 Growth Marketing &amp; Demand Generation,Universal Weather And Aviation,Gurugram,https://www.naukri.com/job-listings-assistant-manager-u2013-growth-marketing-demand-generation-unniversal-weather-and-aviation-p-ltd-gurugram-5-to-6-years-010526502499,2026-05-04,5-6 Yrs,false,,,,,Requirements Key Requirements . 5-6 years of experience in B2B digital marketing / dema...
nk-110526500957,naukri,Director/Senior Director Demand Generation,Jatah Worx India,Bengaluru,https://www.naukri.com/job-listings-director-senior-director-demand-generation-neutrinos-software-services-private-limited-bengaluru-8-to-12-years-110526500957,2026-05-11,8-12 Yrs,false,,,,,Develop and implement effective demand generation strategies to meet business objectiv...
nk-290426502317,naukri,Team Lead - DG (Demand Generation),Rapyder,Bengaluru,https://www.naukri.com/job-listings-team-lead-dg-demand-generation-rapyder-cloud-solutions-bengaluru-5-to-10-years-290426502317,2026-05-04,5-10 Yrs,false,,,,,Proven experience in demand generation and lead managementExcellent analytical and prob...
nk-070526018480,naukri,Demand Generation Lead,Prolim,Bengaluru,https://www.naukri.com/job-listings-demand-generation-lead-prolim-bengaluru-7-to-12-years-070526018480,2026-05-11,7-12 Yrs,false,,,,,Experience selling into enterprise accounts within technology or manufacturing industri...
